amp,34
i,28
my,28
love,25
so,25
like,23
have,23
m,22
who,21
from,20
just,18
out,18
x,18
day,17
do,16
want,16
everyone,16
sos,16
can,16
today,15
follow,15
new,14
heat,14
u,13
https,13
see,13
yang,13
rts,13
good,13
dia,12
we,12
more,12
ko,12
really,12
much,12
now,11
d,11
don,11
one,11
too,11
how,10
ll,10
back,10
ve,10
all,10
up,10
about,10
here,10
ng,9
y,9
gameinsight,9
would,9
last,9
p,9
lt,9
think,9
di,8
q,8
go,8
has,8
what,8
get,8
next,8
time,8
o,8
year,8
had,8
when,8
her,8
kita,8
itu,8
game,8
know,8
our,8
via,7
talk,7
amazing,7
video,7
off,7
why,7
miss,7
ini,7
re,7
v,7
kau,7
ya,7
f,7
work,7
best,7
mean,7
play,7
night,7
ever,7
better,7
please,7
wish,7
his,7
th,7
home,7
n,6
great,6
world,6
ako,6
followers,6
sa,6
k,6
am,6
life,6
androidgames,6
way,6
again,6
people,6
them,6
si,6
dah,6
its,6
she,6
morning,6
fun,6
show,6
sex,6
heart,6
final,6
he,6
e,5
l,5
lol,5
those,5
lang,5
ni,5
r,5
photo,5
posted,5
z,5
iphone,5
win,5
big,5
w,5
sama,5
feel,5
may,5
gonna,5
come,5
meet,5
ah,5
la,5
haha,5
help,5
made,5
always,5
does,5
find,5
hello,5
c,5
omg,5
been,5
mau,5
make,5
beautiful,5
still,5
cr,5
only,5
birthday,5
say,5
mine,4
got,4
going,4
na,4
con,4
start,4
pic,4
awesome,4
support,4
need,4
someone,4
thank,4
ada,4
g,4
xx,4
sougofollow,4
android,4
things,4
lot,4
turn,4
watch,4
thanks,4
hope,4
than,4
far,4
j,4
because,4
us,4
ka,4
happy,4
should,4
wala,4
nak,4
let,4
were,4
dari,4
naman,4
tonight,4
looks,4
other,4
men,4
openfollow,4
rp,4
give,4
some,4
klo,4
happen,4
size,4
cup,4
said,4
making,4
long,4
av,4
sun,4
ma,4
letters,4
bey,4
walaupun,4
ooo,4
boys,3
aku,3
boleh,3
high,3
mga,3
real,3
where,3
did,3
brooks,3
luke,3
could,3
girl,3
hati,3
gold,3
sure,3
guys,3
twitter,3
brilliant,3
perfect,3
music,3
others,3
dan,3
followed,3
nd,3
well,3
summer,3
phone,3
before,3
babies,3
pm,3
team,3
ice,3
anyone,3
friends,3
weekend,3
away,3
days,3
da,3
eh,3
lebih,3
him,3
dengan,3
loyal,3
dream,3
victory,3
nice,3
okay,3
wow,3
mph,3
rb,3
cuek,3
karena,3
mana,3
yung,3
even,3
gathered,3
lovely,3
car,3
wkwk,3
banget,3
al,3
pa,3
never,3
boyfriend,3
same,3
part,3
bye,3
gt,3
over,3
likes,3
cream,3
news,3
gua,3
live,3
dinosaur,3
both,3
bad,3
movie,3
most,3
akad,3
topicwave,3
makes,3
cool,3
idk,3
each,3
